access_news,parameter_map
ไม่เข้าถึง,ไม่เข้าถึง
โทรทัศน์,เข้าถึง
"internet, ฟังข่าว",เข้าถึง
หนังสือพิมพ์,เข้าถึง
internet,เข้าถึง
มือถือคนอื่น,เข้าถึง
วิทยุ,เข้าถึง
โทรทัศน์;internet,เข้าถึง
หนังสือพิมพ์;วิทยุ,เข้าถึง
tiktok,เข้าถึง
คนใกล้ชิด,เข้าถึง
หนังสือพิมพ์;โทรทัศน์,เข้าถึง
Youtube,เข้าถึง
Social Media,เข้าถึง
"Line, Facebook",เข้าถึง
Social media,เข้าถึง
หนังสือพิมพ์;Social media,เข้าถึง
โทรศัพท์,เข้าถึง
smart phone ,เข้าถึง
เพื่อน,เข้าถึง
ปากต่อปาก,เข้าถึง
โทรทัศน์;วิทยุ,เข้าถึง
โทรทัศน์;โทรศัพท์,เข้าถึง
คนอื่น,เข้าถึง
ไม่,เข้าถึง
ใช่,ไม่เข้าถึง
