hometown,parameter_map
กทม,BKK
กทม.,BKK
กระบี่,non-BKK
กรุงเทพ,BKK
กรุงเทพมหานคร,BKK
กัมพูชา,foreign
กาญจนบุรี,non-BKK
กาฬสิทธุ์,non-BKK
กาฬสินธุ์,non-BKK
ขอนแก่น,non-BKK
เขตธนบุรี,BKK
เขตป้อมปราบศัตรูพ่าย,BKK
เขตสัมพันธวงศ์,BKK
เขตหัวลำโพง,BKK
โคราช,non-BKK
จ.เชียงราย,non-BKK
จ.นครนายก,non-BKK
จ.นครราชสีมา,non-BKK
จ.นครสวรรค์,non-BKK
จ.ระยอง,non-BKK
จ.ลพบุรี,non-BKK
จ.สมุทรสาคร,BKK
จ.สระบุรี,non-BKK
จ.สุรินทร์,non-BKK
จ.อุดรธานี,non-BKK
จ.อุทัยธานี,non-BKK
ฉะเชิงเทรา,non-BKK
ชลบุรี,non-BKK
ชุมพร,non-BKK
เชตประเวศ,BKK
เชียงราย,non-BKK
เชียงใหม่,non-BKK
ตาก,non-BKK
ไทย,non-BKK
นครปฐม,BKK
นครพนม,non-BKK
นครราชสีมา,non-BKK
นครศรีธรรมราช,non-BKK
นครสวรรค์,non-BKK
นนทบุรี,BKK
นราธิวาส,non-BKK
บางกอกน้อย,BKK
บุรีรัมย์,non-BKK
ปทุมธานี,BKK
ประเทศจีน,foreign
ปัตตานี,non-BKK
พระนครศรีอยุธยา,non-BKK
พะเยา,non-BKK
พิจิตร,non-BKK
พิษณุโลก,non-BKK
เพชรบุรี,non-BKK
เพชรบูรณ์,non-BKK
มีนบุรี,BKK
ยโสธร,non-BKK
ร้อยเอ็ด,non-BKK
ระนอง,non-BKK
ระยอง,non-BKK
ราชบุรี,non-BKK
โรงพยาบาลราชวิถี,BKK
ลำปาง,non-BKK
ศรีสะเกษ,non-BKK
สกลนคร,non-BKK
สงขลา,non-BKK
สมุทรปราการ,BKK
สมุทรสงคราม,non-BKK
สมุทรสาคร,BKK
สระแก้ว,non-BKK
สระบุรี,non-BKK
สุพรรณบุรี,non-BKK
สุราษฎร์ธานี,non-BKK
สุรินทร์,non-BKK
หนองบัวลำพู,non-BKK
อยุธยา,non-BKK
อ่างทอง,non-BKK
อำเภอชุมแสง จ.นครสวรรค์,non-BKK
อุดรธานี,non-BKK
อุตรดิตถ์,non-BKK
อุบลราชธานี,non-BKK
ยานนาวา,BKK
บุคควิล?,
ดินแดง,BKK
นครสวรรร์,non-BKK
ปราจีนบุรี,non-BKK
กำแพงเพชร,non-BKK
ประจวบคีรีขันธ์,non-BKK
พัทลุง,non-BKK
สุโขทัย,non-BKK
ลพบุรี,non-BKK
ลำพูน,non-BKK
นครนายก,non-BKK
มหาสารคาม,non-BKK
